id,nome,latitude,longitude,ano,sem,ta
120020,Cruzeiro do Sul,-7.63069000500981,-72.6725313174358,2016,32,1
120025,Epitaciolândia,-11.0282398279564,-68.7448680666749,2016,32,1
120030,Feijó,-8.16024753,-70.3539836082165,2016,32,2
120032,Jordão,-9.19335785982848,-71.9508751248365,2016,32,1
120038,Plácido de Castro,-10.3351332827427,-67.1882600861516,2016,32,1
120080,Porto Acre,-9.60085823118788,-67.5405900835194,2016,32,2
120040,Rio Branco,-9.97829875272498,-67.8105287004235,2016,32,35
120045,Senador Guiomard,-10.1481735861989,-67.7431723600051,2016,6,1
120050,Sena Madureira,-9.065339505,-68.655684061692,2016,32,2
120060,Tarauacá,-8.15566859176562,-70.7555010628937,2016,32,1
270010,Água Branca,-9.26702549705051,-37.940715175965,2016,32,3
270020,Anadia,-9.68408378505047,-36.3008135714461,2016,32,3
270030,Arapiraca,-9.7559070107047,-36.6572965062872,2016,32,28
270040,Atalaia,-9.50138674650017,-36.0214273162625,2016,32,4
270050,Barra de Santo Antônio,-9.40927810936494,-35.5002980957816,2016,32,3
270060,Barra de São Miguel,-9.83899825174925,-35.9074498726289,2016,32,2
270070,Batalha,-9.67459302797037,-37.1270918944836,2016,32,2
270090,Belo Monte,-9.82698885476657,-37.2784386581653,2016,32,1
270100,Boca da Mata,-9.64514456727259,-36.2117249001431,2016,32,2
270110,Branquinha,-9.24658310830329,-36.0200335331731,2016,32,3
270120,Cacimbinhas,-9.40516275105815,-36.9968696260236,2016,32,2
270140,Campo Alegre,-9.78341603898408,-36.352434752197,2016,32,4
270150,Campo Grande,-9.95692260332019,-36.7908400521347,2016,32,1
270160,Canapi,-9.11738029758643,-37.6056471506351,2016,32,5
270170,Capela,-9.4129315555221,-36.0750084923936,2016,32,4
270190,Chã Preta,-9.26142245940566,-36.2993814518778,2016,32,1
270200,Coité do Nóia,-9.63848727077993,-36.5796842002285,2016,32,2
270220,Coqueiro Seco,-9.63755427096993,-35.795363001733,2016,32,1
270230,Coruripe,-10.1265472503749,-36.1760783105118,2016,32,6
270235,Craíbas,-9.61993379738632,-36.7723914019128,2016,32,1
270240,Delmiro Gouveia,-9.38457444694075,-37.9992334861769,2016,32,9
270250,Dois Riachos,-9.38567081154627,-37.0898496479493,2016,32,4
270255,Estrela de Alagoas,-9.38740530657934,-36.7583331109668,2016,32,2
270260,Feira Grande,-9.90043719889156,-36.6776855005338,2016,32,3
270280,Flexeiras,-9.27323546004541,-35.7243716385672,2016,32,1
270290,Girau do Ponciano,-9.8873641521582,-36.8303139029901,2016,32,2
270300,Ibateguara,-8.97698521760536,-35.9311844564205,2016,32,2
270310,Igaci,-9.53368865946465,-36.62815971645,2016,32,2
270320,Igreja Nova,-10.1292988371728,-36.653345012518,2016,32,2
270330,Inhapi,-9.22389877333184,-37.752636521046,2016,32,1
270360,Japaratinga,-9.08897435434458,-35.2586583540313,2016,32,3
270380,Joaquim Gomes,-9.13597914629409,-35.749030258912,2016,32,4
270400,Junqueiro,-9.93161038974245,-36.4715218222232,2016,32,1
270430,Maceió,-9.66082215163114,-35.7016299134895,2016,32,75
270440,Major Isidoro,-9.52664406793994,-36.9847996142241,2016,32,1
270450,Maragogi,-9.0154564858241,-35.2230154091319,2016,32,5
270460,Maravilha,-9.23399706335314,-37.3566354220481,2016,32,1
270470,Marechal Deodoro,-9.73915570244381,-35.8930686988453,2016,32,5
270480,Maribondo,-9.57724995600836,-36.3066028985381,2016,32,2
270500,Mata Grande,-9.11480625764182,-37.7252240648916,2016,32,1
270510,Matriz de Camaragibe,-9.15852582474625,-35.533554829803,2016,32,1
270520,Messias,-9.39181222510958,-35.840378300501,2016,32,2
270540,Monteirópolis,-9.60232753886744,-37.2452720989471,2016,32,2
270550,Murici,-9.31630114434686,-35.947555585677,2016,32,4
270560,Novo Lino,-8.94315880807644,-35.6609637180966,2016,32,3
270570,Olho d'Água das Flores,-9.53360127527465,-37.2978907897967,2016,32,2
270580,Olho d'Água do Casado,-9.50144626528801,-37.8362428164813,2016,32,1
270600,Olivença,-9.51945648335504,-37.1908187180627,2016,32,2
270630,Palmeira dos Índios,-9.4061587984201,-36.6309840973114,2016,32,11
270640,Pão de Açúcar,-9.74704185025694,-37.435138856573,2016,32,5
270642,Pariconha,-9.25788438518493,-38.0098260716315,2016,32,1
270644,Paripueira,-9.46631347833536,-35.5591051843043,2016,32,2
270660,Paulo Jacinto,-9.3733643824119,-36.3727420945597,2016,32,5
270670,Penedo,-10.2961102979024,-36.5804602140903,2016,32,13
270680,Piaçabuçu,-10.4073624263407,-36.4343520081112,2016,32,5
270690,Pilar,-9.60689429266684,-35.9485175199678,2016,32,2
270710,Piranhas,-9.62355920030328,-37.7503929130592,2016,32,6
270720,Poço das Trincheiras,-9.30291365540457,-37.2792980528473,2016,32,1
270730,Porto Calvo,-9.05244831413658,-35.3983344556037,2016,32,1
270760,Quebrangulo,-9.32354705536581,-36.4772220766618,2016,32,2
270770,Rio Largo,-9.48615760833584,-35.8524223085924,2016,32,8
270790,Santa Luzia do Norte,-9.59676774166949,-35.8234877698639,2016,32,1
270800,Santana do Ipanema,-9.3722843627404,-37.2454070203705,2016,32,13
270830,São José da Laje,-9.01106588188022,-36.0573877321467,2016,32,1
